접수상태,출발지명,도착지명,출발일시,도착일시,도착지주소,경유지,차량톤수,차량번호,접수자,비고,운임,매입금액,순이익,순이익률
운송완료,안성FC,파주ACP,2026-07-16 19:00,2026-07-17 07:00,"",0,1.5톤,,윤태구,"",151500,144000,7500,"5.0%"
운송완료,안성FC,인천ACP,2026-07-16 19:00,2026-07-17 08:00,"",0,1.5톤,,윤태구,"",141400,134400,7000,"5.0%"
운송완료,안성FC,춘천ACP,2026-07-16 19:00,2026-07-17 06:00,"",1,1톤,,윤태구,"",202000,192000,10000,"5.0%"
운송완료,안성FC,화성ACP,2026-07-16 19:00,2026-07-17 07:00,"",1,1.5톤,,윤태구,"",181800,172800,9000,"5.0%"
운송완료,안성FC,안성ACP,2026-07-16 19:00,2026-07-17 07:00,"",0,2.5톤,,윤태구,"",121200,115200,6000,"5.0%"
운송완료,안성FC,시흥ACP,2026-07-16 19:00,2026-07-17 07:00,"",0,5톤,,윤태구,"",222200,211200,11000,"5.0%"
운송완료,안성FC,대전중구ACP,2026-07-16 19:00,2026-07-17 06:00,"",0,2.5톤,,윤태구,"",161600,153600,8000,"5.0%"
운송완료,안성FC,대전대덕ACP,2026-07-16 19:00,2026-07-17 07:00,"",0,1.5톤,,윤태구,"",141400,134400,7000,"5.0%"
운송완료,안성FC,전주ACP,2026-07-16 19:00,2026-07-17 07:00,"",1,1톤,,윤태구,"",242400,230400,12000,"5.0%"
운송완료,안성FC,구리ACP,2026-07-16 19:00,2026-07-17 07:00,"",0,1.5톤,,윤태구,"",141400,134400,7000,"5.0%"
운송완료,안성FC,화성FDC(신규),2026-07-16 19:00,2026-07-16 21:00,"",0,11톤,,윤태구,"",242400,230400,12000,"5.0%"
운송완료,안성FC,청주FDC,2026-07-16 19:00,2026-07-16 22:00,"",1,11톤,,윤태구,"",353500,336000,17500,"5.0%"
운송완료,안성FC,창원FDC,2026-07-16 19:00,2026-07-16 23:00,"",1,11톤,,윤태구,"",595900,566400,29500,"5.0%"
운송완료,안성FC,전주FDC,2026-07-16 19:00,2026-07-16 22:00,"",0,3.5톤,,윤태구,"",252500,240000,12500,"5.0%"
운송완료,안성FC,인천FDC,2026-07-16 19:00,2026-07-16 21:00,"",0,11톤,,윤태구,"",262600,249600,13000,"5.0%"
운송완료,안성FC,제천FDC,2026-07-16 19:00,2026-07-16 22:00,"",1,5톤,,윤태구,"",292900,278400,14500,"5.0%"
운송완료,안성FC,부산ACP,2026-07-16 19:00,2026-07-17 07:00,"",2,11톤,,윤태구,"",646400,614400,32000,"5.0%"
운송완료,안성FC,남양주FDC,2026-07-16 19:00,2026-07-16 21:00,"",0,11톤,,윤태구,"",252500,240000,12500,"5.0%"
운송완료,안성FC,김포FDC,2026-07-16 19:00,2026-07-16 21:00,"",0,11톤,,윤태구,"",262600,249600,13000,"5.0%"
운송완료,안성FC,광주FDC,2026-07-16 19:00,2026-07-16 23:00,"",0,11톤,,윤태구,"",424200,403200,21000,"5.0%"
운송완료,안성FC,곤지암FDC,2026-07-16 19:00,2026-07-16 21:00,"",0,11톤,,윤태구,"",202000,192000,10000,"5.0%"
운송완료,안성FC,경산FDC,2026-07-16 19:00,2026-07-16 23:00,"",1,11톤,,윤태구,"",525200,499200,26000,"5.0%"
